0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:06:10 -0500] "GET /ProyectoFinal_LPII/ServletDevolucionBien?tipo=ADICIONAR&nroOC=OC-00001&codigoBien=1&descripcionDano=Laptop%20HP%2015.5%22%20de%201TB%2C8RAM&precio=25&cantidad=5&creditoAdeudado=125 HTTP/1.1" 200 799
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:06:28 -0500] "GET /ProyectoFinal_LPII/Mantenimiento_Devolucion_de_Bienes.jsp HTTP/1.1" 200 22872
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:06:28 -0500] "GET /ProyectoFinal_LPII/Servlet_OC_DetalleOC_JSON HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:06:28 -0500] "GET /ProyectoFinal_LPII/ServletProveedorJSON HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:06:34 -0500] "GET /ProyectoFinal_LPII/ServletDevolucionBien?tipo=ADICIONAR&nroOC=OC-00001&codigoBien=1&descripcionDano=Laptop%20HP%2015.5%22%20de%201TB%2C8RAM&precio=25&cantidad=5&creditoAdeudado=125 HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:06:55 -0500] "GET /ProyectoFinal_LPII/Mantenimiento_Devolucion_de_Bienes.jsp HTTP/1.1" 200 22871
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:06:55 -0500] "GET /ProyectoFinal_LPII/ServletProveedorJSON HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:06:55 -0500] "GET /ProyectoFinal_LPII/Servlet_OC_DetalleOC_JSON HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:07:01 -0500] "GET /ProyectoFinal_LPII/ServletDevolucionBien?tipo=ADICIONAR&nroOC=OC-00001&codigoBien=1&descripcionDano=Laptop%20HP%2015.5%22%20de%201TB%2C8RAM&precio=25&cantidad=5&creditoAdeudado=125 HTTP/1.1" 200 1197
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:10:31 -0500] "GET /ProyectoFinal_LPII/Mantenimiento_Devolucion_de_Bienes.jsp HTTP/1.1" 200 22870
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:10:31 -0500] "GET /ProyectoFinal_LPII/Servlet_OC_DetalleOC_JSON HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:10:31 -0500] "GET /ProyectoFinal_LPII/ServletProveedorJSON HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:10:37 -0500] "GET /ProyectoFinal_LPII/ServletDevolucionBien?tipo=ADICIONAR&nroOC=OC-00001&codigoBien=1&descripcionDano=Laptop%20HP%2015.5%22%20de%201TB%2C8RAM&precio=25&cantidad=5&creditoAdeudado=125 HTTP/1.1" 200 1396
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:11:30 -0500] "GET /ProyectoFinal_LPII/Mantenimiento_Devolucion_de_Bienes.jsp HTTP/1.1" 200 22877
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:11:42 -0500] "GET /ProyectoFinal_LPII/Mantenimiento_Devolucion_de_Bienes.jsp HTTP/1.1" 200 22874
